task_id,role,episodes,base_successes,r4_successes,delta_successes,base_success_indices,r4_success_indices,base_failure_to_r4_success,base_success_to_r4_failure
0,control,10,8,6,-2,"[1, 2, 3, 4, 5, 6, 7, 9]","[1, 2, 4, 5, 6, 9]",0,2
1,control,10,8,7,-1,"[0, 2, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 6, 7, 8]",1,2
2,control,10,9,9,0,"[0, 1, 2, 3, 4, 5, 6, 8, 9]","[0, 1, 2, 4, 5, 6, 7, 8, 9]",1,1
3,target,10,1,2,1,[8],"[6, 9]",2,1
4,control,10,8,9,1,"[1, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 8, 9]",2,1
5,control,10,6,8,2,"[0, 2, 4, 5, 7, 8]","[1, 2, 3, 4, 5, 7, 8, 9]",3,1
6,control,10,8,5,-3,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 3, 6, 7, 8]",0,3
7,control,10,9,10,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0
8,control,10,8,10,2,"[0, 1, 2, 4, 5, 6, 7, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",2,0
9,control,10,4,7,3,"[2, 4, 7, 9]","[0, 1, 2, 4, 7, 8, 9]",3,0
