suite,task_id,successes,n_episodes,success_rate_percent
libero_spatial,0,1,3,33.33333333333333
libero_spatial,1,3,3,100.0
libero_spatial,2,3,3,100.0
libero_spatial,3,3,3,100.0
libero_spatial,4,1,3,33.33333333333333
libero_spatial,5,1,3,33.33333333333333
libero_spatial,6,2,3,66.66666666666666
libero_spatial,7,1,3,33.33333333333333
libero_spatial,8,2,3,66.66666666666666
libero_spatial,9,3,3,100.0
libero_object,0,1,3,33.33333333333333
libero_object,1,1,3,33.33333333333333
libero_object,2,3,3,100.0
libero_object,3,3,3,100.0
libero_object,4,1,3,33.33333333333333
libero_object,5,3,3,100.0
libero_object,6,3,3,100.0
libero_object,7,1,3,33.33333333333333
libero_object,8,3,3,100.0
libero_object,9,2,3,66.66666666666666
libero_goal,0,3,3,100.0
libero_goal,1,1,3,33.33333333333333
libero_goal,2,2,3,66.66666666666666
libero_goal,3,0,3,0.0
libero_goal,4,3,3,100.0
libero_goal,5,3,3,100.0
libero_goal,6,2,3,66.66666666666666
libero_goal,7,3,3,100.0
libero_goal,8,3,3,100.0
libero_goal,9,3,3,100.0
